family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,32771,32,128k,0.69921875,14.624,12.272,12.181,1.1917,1.2006,1.0075,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,64,128k,0.69921875,15.029,12.634,12.518,1.1896,1.2005,1.0092,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,128,128k,0.69921875,15.8,13.382,13.21,1.1807,1.1961,1.0131,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,256,128k,0.69921875,21.574,17.877,17.573,1.2068,1.2277,1.0173,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,32771,512,128k,0.69921875,36.739,30.394,29.699,1.2088,1.237,1.0234,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,32771,1024,128k,0.69921875,58.232,48.021,47.638,1.2126,1.2224,1.008,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,65538,1,256k,0.279296875,13.766,13.845,14.355,0.9943,0.959,0.9644,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,2,256k,0.279296875,13.432,13.323,14.056,1.0082,0.9556,0.9479,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,4,256k,0.279296875,13.554,13.493,14.182,1.0045,0.9557,0.9514,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,8,256k,0.279296875,13.886,13.675,14.408,1.0154,0.9638,0.9491,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,16,256k,0.279296875,14.011,13.824,14.584,1.0135,0.9607,0.9479,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,32,256k,0.279296875,14.531,14.326,15.027,1.0143,0.967,0.9534,True,True,True,cs4/T512/mb1/v128
real,bs,,flash,512,bf16,65538,64,256k,0.279296875,16.293,16.434,17.302,0.9914,0.9417,0.9498,True,True,True,cs2/T512/mb1/v128
real,bs,,flash,512,bf16,65538,128,256k,0.279296875,16.184,17.565,17.57,0.9214,0.9211,0.9997,True,True,True,cs1/T1024/mb1/v128
real,bs,,flash,512,bf16,65538,256,256k,0.279296875,26.147,26.394,26.538,0.9907,0.9853,0.9946,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,65538,512,256k,0.279296875,46.131,46.493,47.038,0.9922,0.9807,0.9884,True,True,True,cs1/T512/mb3/v128
